rootX,rootY,rootZ
-0.0446443,0,0.170995
0.044983,0,0.190582
0.128982,0,0.186299
0.185248,0,0.156878
0.186599,0,0.102995
0.136865,0,0.0361375
0.0735208,0,-0.02329
0.0285358,0,-0.054496
0.00788125,0,-0.0539823
0.00101226,-0.00135005,-0.0398447
-0.00033876,0.00545025,-0.0346883
1.86265e-08,0.028776,-0.0540611
1.86265e-08,0.0736243,-0.0925019
1.86265e-08,0.136926,-0.120976
1.86265e-08,0.187525,-0.111648
1.86265e-08,0.179399,-0.0751736
1.86265e-08,0.113402,-0.0369845
1.86265e-08,0.0287986,-0.0188603
1.86265e-08,-0.0348527,-0.021088
1.86265e-08,-0.0415478,-0.0132365
1.86265e-08,0.00110149,0.015243
1.86265e-08,0.0490994,0.0395203
1.86265e-08,0.0632981,0.0367221
1.86265e-08,0.046351,0.0168693
1.86265e-08,0.0151014,-0.00406504
1.86265e-08,-0.0219786,-0.0217818
-0.00135899,-0.072175,-0.0455145
0.00686906,-0.137273,-0.0754246
0.0220055,-0.186175,-0.0882926
0.0501563,-0.1862,-0.0713966
0.0922183,-0.13675,-0.0311113
0.122916,-0.0734494,0.00543052
0.136863,-0.0284481,0.0192888
0.136864,-0.00790239,0.0222323
0.122918,-0.00110149,0.0309983
0.0918798,0.000350476,0.0518276
0.0528661,0,0.0710841
0.0216663,0,0.0684938
0.00653058,0,0.0400883
0.00135201,0,0.00314553
-0.000338883,0,-0.0214428
0,0,-0.0237796
0,0,-0.00992
0,0,0.00537932
0,-0.00135005,0.0105875
0,0.00545025,0.000140448
0,0.028776,-0.0188268
0,0.0736243,-0.0341485
0,0.138301,-0.0395375
0,0.180552,-0.0326993
0,0.157223,-0.012783
0,0.0633231,0.0141117
0,-0.0633234,0.030711
0,-0.158923,0.0212638
0,-0.171302,-0.00504778
0,-0.112501,-0.020219
0,-0.0293243,-0.00986024
0,0.034875,0.0173963
0,0.0415501,0.040938
0,-0.00110179,0.0492888
0,-0.0490994,0.0424023
0,-0.0632984,0.0194888
0,-0.0450013,-0.0215683
0,-0.0205493,-0.0696858
0,-0.0068009,-0.0987669
0,-0.00145078,-0.0924353
0,0.000350476,-0.0584685
0,0,-0.0236348
0,0,-0.00161599
0,0,0.0160112
0,0,0.0447713
0,0,0.0839123
0,0,0.111568
0,0,0.114562
0,0,0.0934686
0,0,0.056599
0,0,0.0152803
0,0,-0.0189642
0,0,-0.0352785
0,0,-0.0325005
0,0,-0.0233675
0,0,-0.0120508
0,0,-0.0014165
0,0,0.00160854
0,0,-0.00506151
0,0,-0.0191508
0,0,-0.0322992
0.00135905,0,-0.0380038
-0.0055104,0,-0.0392023
-0.0302337,0,-0.0379743
-0.068009,0,-0.0346322
-0.106629,0,-0.0305363
-0.119612,0,-0.016252
-0.0714023,0,0.0184478
-0.000757089,0,0.0623231
0.0205225,-0.00135005,0.0877343
-0.0145893,0.00545025,0.0814091
-0.0712268,0.030151,0.0573025
-0.1107,0.0666238,0.0450491
-0.107825,0.113601,0.0565791
-0.0675028,0.141527,0.0707783
-0.00856103,0.122873,0.0502128
0.041679,0.0888489,-0.0131948
0.041508,0.0679762,-0.0775604
