rootX,rootY,rootZ
0.707282,1.26625,0.53231
1.60433,0.129885,0.0182841
1.81031,-0.939495,-1.34412
0.818834,-0.860125,-2.12897
-0.68042,-0.566823,-1.40901
-1.19313,-0.840099,0.0328895
-0.426443,-1.41333,0.985325
0.82645,-1.09064,1.39926
0.860856,0.966241,1.75333
-0.386461,2.57533,1.67747
-0.965564,1.6091,0.629944
0.0762313,-0.856687,-0.98162
1.85764,-2.29245,-2.09834
2.59875,-1.81185,-2.17707
1.43774,-0.784435,-1.2861
-0.556918,0.0485637,0.266561
-1.76797,0.789911,1.5051
-1.71073,0.695273,1.23521
-0.983271,-0.623483,-0.53284
-0.36496,-1.5888,-2.3399
-0.0930902,-0.565606,-2.62619
-0.000556089,1.93254,-0.878208
0.00931049,3.45793,1.62505
-0.000847208,2.40736,3.08848
0,0.206758,3.08868
0,-1.10144,2.33024
0,-0.988193,1.46224
0,-0.317268,0.37165
0,-0.641024,-1.07611
0,-2.1782,-2.11765
-0.00339763,-3.3333,-1.88236
0.0409571,-2.42262,-0.883806
-0.0414191,0.287542,-0.297334
-0.379919,2.86375,-0.138171
-1.04925,3.31611,0.304211
-2.16972,1.075,0.956833
-2.83797,-1.58893,1.17117
-2.11663,-1.85383,0.846216
-0.01716,0.168392,0.274407
2.7388,2.17351,-0.369914
4.41161,2.19164,-0.781183
3.66327,0.00657444,-0.825827
1.25674,-2.32896,-0.633057
-0.79431,-2.58542,-0.243593
-1.35418,-0.928681,0.221277
-0.889386,0.916189,0.516479
-0.364441,1.77702,0.330194
-0.102367,1.89569,-0.36893
0.000305288,2.07153,-1.11969
0.00930617,1.96109,-1.58051
-0.000846946,0.829008,-1.53366
-8.88179e-15,-0.839475,-0.701891
-8.88179e-15,-1.86083,0.645955
-8.88179e-15,-1.71623,1.93786
-8.88179e-15,-0.970878,2.72618
-8.88179e-15,-0.370669,2.55978
-8.88179e-15,-0.0928344,1.27925
-8.88179e-15,0.00177026,-0.614032
-8.88179e-15,0.0087321,-2.01433
0.00339752,-0.000810625,-2.03078
-0.0409553,0,-0.926556
0.0380145,-0.00337437,0.211787
0.420869,0.0439898,0.538494
1.01466,-0.0810193,0.0523617
1.70453,-0.340755,-0.630325
1.90567,-0.636509,-1.06235
0.750577,-1.11177,-1.0875
-1.21582,-1.16407,-0.612255
-2.4133,-0.678117,-0.0115472
-2.4519,-0.240488,0.142626
-1.54746,0.240303,-0.0457405
-0.348651,1.10767,-0.028172
-0.141795,2.1311,0.464644
-0.831037,2.81811,1.29533
-0.960176,2.55968,1.91241
0.081276,1.10669,1.55102
1.25319,-0.748852,0.24337
1.44791,-1.85285,-0.977325
0.880573,-1.72586,-1.2627
0.355903,-0.970064,-0.752115
0.103263,-0.370669,-0.147794
-0.000274461,-0.0928344,0.148028
-0.00931511,0.00177026,0.158324
0.000847505,0.0087321,0.0338665
-8.88179e-15,-0.004185,-0.0731947
-0.00339751,0.0406147,0.0616969
0.0443526,-0.0335798,0.388001
-0.0789682,-0.460013,0.384601
-0.382865,-0.974446,0.038404
-0.590353,-1.3317,-0.372584
-0.734216,-0.769112,-0.54523
-0.115458,1.25874,0.0432683
1.45265,3.28765,0.981426
2.67379,3.38371,1.0753
2.73545,1.04395,-0.0663531
1.76584,-1.9238,-1.17251
0.00308698,-2.97465,-1.10158
-1.81976,-1.94401,-0.469624
-2.72698,-0.646506,-0.41366
-2.50641,-0.372041,-1.11368
-1.13645,-1.09911,-1.41874
0.676115,-1.58005,-0.539106
1.56527,-0.736913,0.61189
1.03037,0.841803,1.03528
-0.130617,1.85346,0.856068
-0.748339,1.68055,0.591907
-0.6073,1.00888,0.571211
-0.272719,0.780893,0.821575
-0.0925338,1.11173,1.14203
-0.0098666,1.71347,1.25261
0.0101577,1.84769,0.810164
-0.000847208,0.828532,-0.089762
0,-0.829741,-0.665039
0,-1.86171,-0.381387
0,-1.71623,0.330783
0,-0.970878,0.484263
0,-0.370669,-0.176791
0,-0.0928344,-0.922361
0,0.00177026,-1.09519
0,0.0087321,-0.600907
0,-0.000810625,0.262525
0,0,0.836209
0,0,0.669089
0,0,0.181599
0,0,-0.155421
0,0,-0.116418
0,-0.00337437,0.149278
0,0.0406147,0.023891
0,-0.0370175,-0.624363
0,-0.418447,-1.25617
0,-1.01446,-1.41615
-0.00339763,-1.75268,-1.12378
0.0409571,-1.81733,-0.605608
-0.0380214,-0.404279,0.121011
-0.420876,1.8371,0.876292
-1.01463,3.60626,1.35871
-1.70789,3.54258,1.76034
