RootX,RootY,RootZ,neckX,neckY,neckZ,headX,headY,headZ,torsoX,torsoY,torsoZ,lshoulderX,lshoulderY,lshoulderZ,lelbowX,lelbowY,lelbowZ,lwristX,lwristY,lwristZ,lhandX,lhandY,lhandZ,rshoulderX,rshoulderY,rshoulderZ,relbowX,relbowY,relbowZ,rwristX,rwristY,rwristZ,rhandX,rhandY,rhandZ
-4.36627,-2.65641,499.736,7.54458,0.345726,8.43257,0.132458,-0.034715,3.99603,0,0,0,0.582714,36.4745,-4.56923,-28.0645,-13.9863,29.1178,0.916459,8.62406,17.5451,0.45823,4.09458,8.20447,-33.1458,-4.22049,-39.4262,-1.86296,-12.0635,-6.44527,15.9317,-7.75241,-2.08564,7.96586,-3.77793,-0.40581
-10.9508,-4.0686,483.916,1.07578,0.244067,18.2666,-2.95539,0.10654,8.70384,0,0,0,28.9301,-3.55528,-20.5,6.32548,-19.6768,-0.263446,-13.127,12.4193,-1.42069,-6.56349,5.9852,-1.06325,-4.27819,-12.5378,-6.99743,-8.50553,-7.34545,-8.53657,-0.47174,-4.68533,-3.79422,-0.23587,-2.27305,-1.34669
-11.1993,-4.27775,471.905,-1.02467,-0.0646244,17.3149,-3.95956,-0.0264584,8.25854,0,0,0,36.4149,-29.3903,-27.8927,25.5768,-12.2338,-17.2019,-20.1378,7.61171,-12.3639,-10.0689,3.63488,-6.4138,29.2018,-13.2303,28.8106,-7.95321,-6.32241,-2.49608,-17.3965,-4.00152,-0.229727,-8.69824,-1.93193,0.296172
-6.57786,-4.54972,472.002,2.09403,-0.133262,10.4339,-2.46633,-0.070186,4.97836,0,0,0,28.4158,-18.4031,-23.0153,16.0439,-10.2574,-9.29074,-16.0559,6.32934,-7.25044,-8.02793,3.00641,-3.91378,43.0722,-8.87597,42.5776,-3.77513,-8.08972,3.84153,-23.2432,-5.14978,3.75505,-11.6216,-2.49497,2.21199
-0.927053,-4.95488,481.052,5.29302,-0.0541766,3.83412,-0.933033,-0.0288821,1.82969,0,0,0,17.7785,18.6324,-10.0189,-11.6891,-21.0755,14.4833,-5.02525,13.3663,8.11181,-2.51263,6.46085,3.59725,32.8892,-6.16468,33.0551,-2.93094,-6.28537,3.12534,-18.5988,-4.00209,3.38153,-9.2994,-1.93918,2.05573
2.13977,-4.33978,491.035,7.39355,-0.00590269,0.970821,0.0769668,-0.00295124,0.463394,0,0,0,5.25148,47.2288,3.58653,-33.5902,-27.4961,32.7532,5.13141,17.5265,19.8857,2.5657,8.49783,9.34493,13.6954,-4.99465,15.1477,-4.25792,-2.44647,-1.0407,-10.333,-1.53598,0.851466,-5.16648,-0.737793,0.866449
3.07497,-2.2567,497.469,9.76146,0.003284,0.00621007,1.21491,0.00164203,0.0029645,0,0,0,-11.5607,50.159,16.0192,-37.7565,-19.622,34.1219,11.7409,12.3798,20.6539,5.87045,5.96383,9.68648,-1.56441,-3.49201,0.43835,-4.78886,0.147251,-3.82842,-3.44373,0.132149,-0.805193,-1.72186,0.075403,0.099178
2.51534,0.584622,499.718,11.5064,0.00134348,-0.0975543,2.05512,0.000671766,-0.0465648,0,0,0,-28.203,32.0823,25.5674,-26.8363,-3.12519,21.305,14.3566,1.635,12.2027,7.17828,0.685673,5.50414,-10.4256,-3.63554,-8.20031,-5.84473,1.51446,-6.10682,0.508548,1.0178,-2.18784,0.254274,0.509068,-0.55031
1.07664,2.76286,497.791,11.4795,-0.00017626,0.00887851,2.04813,-8.81028e-05,0.00423791,0,0,0,-33.8343,1.77929,25.3901,-5.96509,12.6014,0.999741,10.3384,-8.57498,-1.01984,5.16918,-4.3196,-0.991169,-15.9433,-2.136,-15.0384,-4.48778,0.214942,-5.68077,3.96111,0.16985,-1.8264,1.98056,0.0920984,-0.348088
-0.286602,3.40843,493.611,9.48739,-1.87933e-08,-3.20881e-07,1.10174,1.31446e-08,-1.49494e-07,0,0,0,-23.9166,-23.5613,15.4183,13.3822,17.7718,-15.2116,1.75525,-11.8827,-11.4501,0.877627,-5.92673,-6.07747,-21.4401,0.124827,-21.8711,-2.45777,-0.987025,-4.51804,7.48998,-0.613352,-0.987021,3.74499,-0.292751,0.0883325
